question,subquestion,subquestion_answer
What major events lead up to Russia's invasion of Ukrain in 2022?,"When did the Russio-Ukrainian war start?
a) 2022
b) 2014
c) 2019
d) 2010",B
What major events lead up to Russia's invasion of Ukrain in 2022?,"Which major historical event lead to the ousting of President Viktor Yanukovych?
a) Arab Spring
b) Kyrgyz Revolution
c) Fishball Revolution
d) Revolution of Dignity",D
What major events lead up to Russia's invasion of Ukrain in 2022?,"What did Russia call its invasion against Ukrain?
a) A special military operation
b) An invasion
c) An attempt at liberation
d) Aid against a nazi regime",A
What major events lead up to Russia's invasion of Ukrain in 2022?,"Which of the following reasons did Putin give for his invasion of Ukraine?
a) Ukrain was acting in agression towards Russia
b) Ukrainian rebels needed to be dealt with
c) He gave no reasons
d) To support the repulics of Donetsk and Luhansk",D
What major events lead up to Russia's invasion of Ukrain in 2022?,"How long has Russia been in conflict with Ukraine before the 2022 invasion?
a) eight years
b) ten years
c) three months
d) They were not in conflict beforehand",A
What major events lead up to Russia's invasion of Ukrain in 2022?,"When did the revolution of dignity take place in Ukraine?
a) 2022 february
b) 2014 february
c) 2022 april
d) 2014 april ",B
Which battles have been the most significant in the Russo-Ukrainian War? Describe them!,"What was targeted by Ukrainian drones in Russia's southern Rostov region? 
a) An energy plant 
b) A factory 
c) An oil storage facility 
d) A military base",C
Which battles have been the most significant in the Russo-Ukrainian War? Describe them!,"Which region in Ukraine experienced a night attack on its energy facility, leading to a power outage for approximately 100,000 people? 
a) Kyiv 
b) Sumy 
c) Donetsk 
d) Lviv",B
Which battles have been the most significant in the Russo-Ukrainian War? Describe them!,"Who reported the capture of the village of Sokil in the Donetsk region? 
a) Ukrainian Defense Ministry
b) Russian Defense Ministry
c) Ukrainian President's Office
d) International Media",B
Which battles have been the most significant in the Russo-Ukrainian War? Describe them!,"What recent Ukrainian military action resulted in a large capture of Russian soldiers? 
a) Invasion of Moscow 
b) Kursk region offensive 
c) Seizure of Donetsk 
d) Battle in Crimea",B
Which battles have been the most significant in the Russo-Ukrainian War? Describe them!,"What prompted Ukrainian President Zelensky to urge allies for more air defense systems support? 
a) The threat of a ground invasion by Russia 
b) A trade embargo placed on Ukraine 
c) The recent deadly missile attack in Kharkiv 
d) The annexation of Ukrainian territory by Russia",C
