,Question,Answer,Category,Article,Topic
0,"What defensive action did Ukraine's military take in response to the air assaults by Russia? 
a) Initiated ground counter-attacks
b) Deployed air defense mechanisms
c) Conducted peace negotiations
d) Launched a naval blockade",b,Causal Questions,"Ukraine's military said its air defense systems were repelling the air strikes launched by Russia overnight into Wednesday.


Here's a look at the latest developments regarding Russia's war in Ukraine on Tuesday, June 12.
Several blasts where heard in and around Kyiv, DW reports, with air raid alerts in place throughout Ukraine.

",Russio-Ukraine
1,"What prompted Ukrainian President Zelensky to urge allies for more air defense systems support? 
a) The threat of a ground invasion by Russia 
b) A trade embargo placed on Ukraine 
c) The recent deadly missile attack in Kharkiv 
d) The annexation of Ukrainian territory by Russia",c,Causal Questions,"CNN —  Eighteen people, including a 12-year-old girl, are among those killed in a Russian strike that hit a large store in Kharkiv on
Saturday, regional officials have said, making it the deadliest attack Ukraine has endured in several weeks.
  
Ukrainian President Volodymyr Zelensky denounced the strike as a “brutal attack,” saying that “Russia is run by men who want to make it a norm – burning lives, destroying cities and villages, dividing people, and erasing national borders through war.”
  Ad Feedback
  Zelensky, who was in Spain for an official visit on Monday, urged Ukraine's allies to provide it with more air defenses.
  
Meeting with Zelensky in Madrid, Spanish Prime Minister Pedro Sánchez announced on Monday a new $1.08 billion weapons deal for Ukraine that “aims to reinforce air defense systems” and protect Ukrainian citizens and infrastructure from Russia's attacks.
  
Kharkiv , Ukraine's second biggest city, which sits near its border with Russia, has seen a spate of Russian attacks in recent weeks.
  
We are sending another batch of Leopard tanks and above all, munitions that the [Ukrainian] troops need.”
  Zelensky was due to visit Spain earlier this month but postponed the trip due to Russia's offensive around Kharkiv and other parts of Ukraine.",Russio-Ukraine
2,"What significant announcement was made by the Spanish Prime Minister during Zelensky's visit to Madrid? 
a) A ceasefire agreement between Russia and Ukraine
b) A new $1.08 billion economic aid package
c) A $1.08 billion weapons deal for air defense systems
d) A trade agreement to boost Ukraine's economy",c,Procedural Questions,"CNN —  Eighteen people, including a 12-year-old girl, are among those killed in a Russian strike that hit a large store in Kharkiv on
Saturday, regional officials have said, making it the deadliest attack Ukraine has endured in several weeks.
  
Ukrainian President Volodymyr Zelensky denounced the strike as a “brutal attack,” saying that “Russia is run by men who want to make it a norm – burning lives, destroying cities and villages, dividing people, and erasing national borders through war.”
  Ad Feedback
  Zelensky, who was in Spain for an official visit on Monday, urged Ukraine's allies to provide it with more air defenses.
  
Meeting with Zelensky in Madrid, Spanish Prime Minister Pedro Sánchez announced on Monday a new $1.08 billion weapons deal for Ukraine that “aims to reinforce air defense systems” and protect Ukrainian citizens and infrastructure from Russia's attacks.
  
Kharkiv , Ukraine's second biggest city, which sits near its border with Russia, has seen a spate of Russian attacks in recent weeks.
  
We are sending another batch of Leopard tanks and above all, munitions that the [Ukrainian] troops need.”
  Zelensky was due to visit Spain earlier this month but postponed the trip due to Russia's offensive around Kharkiv and other parts of Ukraine.",Russio-Ukraine
3,"What was one of the reasons Russian President Vladimir Putin claimed for the attack on Kursk?
a) To secure new territories for Russia
b) To demonstrate military strength to the international community
c) To improve Kyiv's position in potential peace talks
d) To weaken the Ukrainian economy",c,Causal Questions,"Moscow and Kyiv have accused each other of starting the fire at Zaporizhzhia nuclear plant.
Ukraine said on Monday its biggest cross-border assault of the war had captured 1,000 sq km (386 sq miles) of Russia's Kursk region and that Russian President Vladimir Putin would have to be forced into making peace .
In a meeting with his national security council Russian President, Vladimir Putin, said the attack was aimed at improving Kyiv's negotiating position ahead of possible peace talks and at slowing the advance of Russian forces.
He added: “Russia brought war to others, and now it is coming home.”
  Ukrainian forces in Kursk were trying to encircle Sudzha, where Russian natural gas flows into Ukraine, Reuters reported.
“The main task, of course, is for the defence ministry to squeeze out, to knock out the enemy from our territories,” Putin said, adding: “The enemy will certainly receive a worthy response.”
  Zelenskiy said the Kursk attack was targeting areas from which Russia was launching assaults on Ukrainian territory .",Russio-Ukraine
4,"What area did Ukraine claim to have captured from Russia during its largest cross-border assault? 
a) 500 sq km 
b) 750 sq km 
c) 1000 sq km 
d) 1500 sq km",c,Quantitative Questions,"Moscow and Kyiv have accused each other of starting the fire at Zaporizhzhia nuclear plant.
Ukraine said on Monday its biggest cross-border assault of the war had captured 1,000 sq km (386 sq miles) of Russia's Kursk region and that Russian President Vladimir Putin would have to be forced into making peace .
In a meeting with his national security council Russian President, Vladimir Putin, said the attack was aimed at improving Kyiv's negotiating position ahead of possible peace talks and at slowing the advance of Russian forces.
He added: “Russia brought war to others, and now it is coming home.”
  Ukrainian forces in Kursk were trying to encircle Sudzha, where Russian natural gas flows into Ukraine, Reuters reported.
“The main task, of course, is for the defence ministry to squeeze out, to knock out the enemy from our territories,” Putin said, adding: “The enemy will certainly receive a worthy response.”
  Zelenskiy said the Kursk attack was targeting areas from which Russia was launching assaults on Ukrainian territory .",Russio-Ukraine
5,"Who did the Ukrainian forces target in their attack in the Kursk region? 
a) Kyiv's negotiating teams
b) Russian supply lines
c) Areas launching attacks on Ukraine
d) Civilians in Russian territories",C,Procedural Questions,"Moscow and Kyiv have accused each other of starting the fire at Zaporizhzhia nuclear plant.
Ukraine said on Monday its biggest cross-border assault of the war had captured 1,000 sq km (386 sq miles) of Russia's Kursk region and that Russian President Vladimir Putin would have to be forced into making peace .
In a meeting with his national security council Russian President, Vladimir Putin, said the attack was aimed at improving Kyiv's negotiating position ahead of possible peace talks and at slowing the advance of Russian forces.
He added: “Russia brought war to others, and now it is coming home.”
  Ukrainian forces in Kursk were trying to encircle Sudzha, where Russian natural gas flows into Ukraine, Reuters reported.
“The main task, of course, is for the defence ministry to squeeze out, to knock out the enemy from our territories,” Putin said, adding: “The enemy will certainly receive a worthy response.”
  Zelenskiy said the Kursk attack was targeting areas from which Russia was launching assaults on Ukrainian territory .",Russio-Ukraine
6,"What is the significance of Ukraine's military action inside Russia's western Kursk region? 
a) It marks a victory for Ukraine in the ongoing conflict. 
b) It is the first military action by Ukraine since the conflict began. 
c) It represents the deepest Ukrainian incursion into Russia since February 2022. 
d) It is a response to a recent peace agreement violation.",c,Event-based Questions,"Summary  President Volodymyr Zelensky has confirmed for the first time that the Ukrainian military is conducting a cross-border offensive inside Russia's western Kursk region
 Late Saturday night, Zelensky said Ukraine was pushing the war onto ""the aggressor's territory""
  Kyiv launched the surprise attack on Tuesday and has advanced more than 10km (six miles) inside Russia
  Russia says 76,000 people have been evacuated from border areas in the Kursk region
  This is the deepest raid into the country since Moscow began its full-scale invasion of Ukraine in February 2022
  
Overnight, Kyiv and several other regions came under a Russian drone and missile attack, local officials said
  A 35-year-old man and his four-year-old son were killed in the Kyiv region after a rocket fragment fell on residential houses
  Live Reporting
  Edited by Johanna Chisholm
  LIVE stream page
  Zelensky thanks Ukrainian 'warriors' as he confirms offensive
  President Zelensky confirmed in his late night address on Saturday that Ukraine's military was now pushing the war onto ""the aggressor's territory"".
  
He did not mention by name Russia's western Kursk region, where Ukrainian troops have reportedly seized several villages and are also threatening to take a regional town.
  
Fighting in Kursk appeared to be continuing overnight, with the region's governor, Aleksei Smirnov, saying early on Sunday that there were injured people in a ""treacherous"" Ukrainian attack.
  
Mass evacuations as Russia struggles to halt Ukrainian advance
  Russia has been struggling to halt a Ukrainian advance in the western Kursk region, despite sending reinforcements with heavy armoury to the region.
  ",Russio-Ukraine
7,"Who confirmed the Ukrainian military’s cross-border offensive into Russia's Kursk region? 
a) Aleksei Smirnov 
b) Johanna Chisholm 
c) Volodymyr Zelensky 
d) The governor of Kursk region",c,People/Actor-based Questions,"Summary  President Volodymyr Zelensky has confirmed for the first time that the Ukrainian military is conducting a cross-border offensive inside Russia's western Kursk region
 Late Saturday night, Zelensky said Ukraine was pushing the war onto ""the aggressor's territory""
  Kyiv launched the surprise attack on Tuesday and has advanced more than 10km (six miles) inside Russia
  Russia says 76,000 people have been evacuated from border areas in the Kursk region
  This is the deepest raid into the country since Moscow began its full-scale invasion of Ukraine in February 2022
  
Overnight, Kyiv and several other regions came under a Russian drone and missile attack, local officials said
  A 35-year-old man and his four-year-old son were killed in the Kyiv region after a rocket fragment fell on residential houses
  Live Reporting
  Edited by Johanna Chisholm
  LIVE stream page
  Zelensky thanks Ukrainian 'warriors' as he confirms offensive
  President Zelensky confirmed in his late night address on Saturday that Ukraine's military was now pushing the war onto ""the aggressor's territory"".
  
He did not mention by name Russia's western Kursk region, where Ukrainian troops have reportedly seized several villages and are also threatening to take a regional town.
  
Fighting in Kursk appeared to be continuing overnight, with the region's governor, Aleksei Smirnov, saying early on Sunday that there were injured people in a ""treacherous"" Ukrainian attack.
  
Mass evacuations as Russia struggles to halt Ukrainian advance
  Russia has been struggling to halt a Ukrainian advance in the western Kursk region, despite sending reinforcements with heavy armoury to the region.
  ",Russio-Ukraine
8,"What event did the Ukrainian attack drones reportedly cause in northern Russia? 
a) Disabled a Russian Tu-95 bomber 
b) Damaged a Russian Tu-22M3 strategic bomber 
c) Destroyed a Russian Su-35 fighter jet 
d) Neutralized a Russian air defense system",b,Event-based Questions,"China’s foreign minister told his US counterpart that Beijing denies charges that it is helping Russia’s war effort in Ukraine.
Ukrainian attack drones damaged a Russian Tu-22M3 strategic bomber at a military airfield in northern Russia, a military intelligence source told Reuters on Saturday.
Ukrainian media outlet Ukrainska Pravda reported that in further attacks on Russia, military airfield were hit in the city of Engels in the Saratov region and Dyagilevo in the Ryazan region.
Russia’s defence ministry said its forces had taken control of the settlement of Lozuvatske in the Donetsk region of Ukraine, Interfax news agency reported, as the Russians advanced towards the city of Pokrovsk.
In southern Russia’s Belgorod region, the regional governor, Vyacheslav Gladkov, said Ukrainian shelling and drone attacks killed one person, injured two and damaged homes and other buildings.",Russio-Ukraine
9,"Which Russian city in the Saratov region was reported to have a military airfield hit by Ukrainian attacks? 
a) Moscow 
b) Engels 
c) Ryazan 
d) Belgorod",B,Location-based Questions,"China’s foreign minister told his US counterpart that Beijing denies charges that it is helping Russia’s war effort in Ukraine.
Ukrainian attack drones damaged a Russian Tu-22M3 strategic bomber at a military airfield in northern Russia, a military intelligence source told Reuters on Saturday.
Ukrainian media outlet Ukrainska Pravda reported that in further attacks on Russia, military airfield were hit in the city of Engels in the Saratov region and Dyagilevo in the Ryazan region.
Russia’s defence ministry said its forces had taken control of the settlement of Lozuvatske in the Donetsk region of Ukraine, Interfax news agency reported, as the Russians advanced towards the city of Pokrovsk.
In southern Russia’s Belgorod region, the regional governor, Vyacheslav Gladkov, said Ukrainian shelling and drone attacks killed one person, injured two and damaged homes and other buildings.",Russio-Ukraine
